"특성별(1)","특성별(2)","교육 내용","교육 내용","교육 내용","교육 내용","교육 내용","교육 내용","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교우 관계","교우 관계","교우 관계","교우 관계","교우 관계","교우 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교 주변 환경","학교 주변 환경","학교 주변 환경","학교 주변 환경","학교 주변 환경","학교 주변 환경","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활"
"군구별","중구","5.3","27.2","53","13","1.5","3.2","4.6","24.7","53.8","13.3","3.6","3.1","19","27.1","50.4","2.8","0.7","3.6","11","22.7","58.3","6.5","1.5","3.4","6","21.2","53.7","14.6","4.4","3.1","6.7","17.9","49.9","19","6.5","3","5.7","12.8","56.3","23","2.2","3","8.2","18.3","56.2","12.5","4.8","3.1","11.4","20.3","61.1","5","2.2","3.3"
"군구별","동구","14.9","26.8","44.8","11.8","1.7","3.4","14","19.8","54.8","6.8","4.7","3.3","25.2","40.9","33.9","0","0","3.9","16.5","29.4","46.5","7.6","0","3.6","11.2","20.9","46.2","16.5","5.2","3.2","10.8","13.8","42.8","25.6","7","3","10.8","15.1","60.2","9.2","4.7","3.2","10.2","22.1","52.8","12.1","2.8","3.3","16.6","21.5","56.9","4.2","0.9","3.5"
"군구별","미추홀구","12.4","39.3","39.4","6.4","2.5","3.5","7.8","37.6","44.5","7.9","2.1","3.4","28.1","38.3","31.1","2","0.6","3.9","14.4","31","49.3","4.8","0.6","3.5","9.3","26.7","46.1","16","1.8","3.3","7.4","26.6","43.9","16.4","5.7","3.1","9","24.6","49.3","13","4.1","3.2","7.5","29.8","51.4","8.4","2.9","3.3","11","33.1","51.9","2.9","1","3.5"
"군구별","연수구","12.8","28.7","49.8","7.5","1.2","3.5","12.2","30.7","43.6","12.1","1.4","3.4","27.6","40","28.9","2.6","0.8","3.9","15.4","37.6","41.7","4.7","0.7","3.6","14.8","26.6","41.2","14","3.3","3.4","11","28.3","44.5","12.2","4","3.3","9.1","24.9","51.6","11.2","3.2","3.3","10.4","26","53.2","8.9","1.4","3.4","13.2","33","47.9","5.9","0","3.5"
"군구별","남동구","14.7","39.6","35.3","6.4","4","3.6","9.9","37.7","42.1","8","2.3","3.5","31.1","34.7","30.5","2.7","0.9","3.9","16.7","37.3","41.3","2.3","2.5","3.6","11.9","28.5","46.4","8.6","4.7","3.3","10.7","24.3","46.9","12.1","6","3.2","10.5","23.5","48.3","13.6","4.1","3.2","11.1","28","47.7","11","2.3","3.4","11.7","40.2","43.3","3.6","1.1","3.6"
"군구별","부평구","11.9","44.6","34.4","7.9","1.2","3.6","12.7","37.1","36.6","12.4","1.2","3.5","24.5","48.7","24.4","2","0.4","4","15.5","43.7","33.9","6.1","0.8","3.7","13.1","32","35.6","16.9","2.3","3.4","12.4","29.8","36.5","16.9","4.4","3.3","8.6","31.3","36.3","19.3","4.6","3.2","11.3","33.4","42.1","11.4","1.7","3.4","14.2","38.1","42.3","5","0.4","3.6"
"군구별","계양구","10.2","35","47.5","5.7","1.6","3.5","12","27.4","48.7","8.7","3.2","3.4","28.9","34","35.4","0.4","1.2","3.9","14.7","30.2","49.5","4","1.7","3.5","9.4","26.5","47.5","13.7","2.9","3.3","8.5","19.1","45.2","24.2","2.9","3.1","8.8","19.7","55.2","14.6","1.7","3.2","11.1","23.2","48.3","15.8","1.5","3.3","14.3","31.2","49.8","3.5","1.2","3.5"
"군구별","서구","12.3","29.5","50.7","5.7","1.9","3.5","12.4","22.9","54.3","8.4","2","3.4","22.9","38.8","34.3","3.5","0.5","3.8","15.6","29.8","47.5","6.1","0.9","3.5","11","26.3","47.3","13.6","1.7","3.3","10.9","22.9","46.7","17.3","2.2","3.2","10","26.4","49.4","11.6","2.4","3.3","7.9","27.3","50.9","8.5","5.4","3.2","16.8","28.9","47.4","6.4","0.5","3.6"
"군구별","강화군","9.3","41.4","43.9","4.2","1.2","3.5","8.3","35.3","52","2.5","2","3.5","21.6","41.7","36.7","0","0","3.9","16.7","26.2","45.5","10.8","0.8","3.5","7.4","26","51","10","5.7","3.2","8.4","23.9","44.6","13.4","9.7","3.1","7.1","25.9","51.8","12.3","2.9","3.2","10.9","26","52","11.1","0","3.4","16.1","34.7","44.8","1.6","2.9","3.6"
"군구별","옹진군","32.6","37.1","24.1","6.1","0","4","35.9","25.8","32.2","6.1","0","3.9","54.8","32.6","12.6","0","0","4.4","50","19.1","30.9","0","0","4.2","20","24.3","49.9","5.8","0","3.6","18.2","22.9","46.6","6.1","6.1","3.4","7.7","43.7","42","6.6","0","3.5","8.5","48.8","37","5.7","0","3.6","33.4","36.8","26.9","2.9","0","4"
"성별","남자","12.9","34.2","44.2","6.7","1.9","3.5","11.6","31.1","46.3","8.6","2.4","3.4","24.3","39.1","33.2","2.5","0.9","3.8","14","34.3","44.7","5.7","1.3","3.5","10.9","27.6","47.3","11.6","2.6","3.3","10.4","24","46.9","14.7","4","3.2","9.5","24.7","49.3","13.1","3.4","3.2","9.1","26.6","49.8","12","2.6","3.3","13.4","33","48.3","4.3","0.9","3.5"
"성별","여자","11.6","37.4","41.7","7.1","2.2","3.5","10.4","32.4","44.8","10.6","1.8","3.4","29.5","38.5","29.5","2","0.4","4","17.1","34.5","43.4","3.8","1.1","3.6","12.1","27.3","41.2","16","3.3","3.3","9.9","25.8","41.1","18.3","4.9","3.2","9","24.9","47.6","15.3","3.3","3.2","10.8","29","48.4","9","2.8","3.4","14","34.2","46.2","4.9","0.7","3.6"
"연령별","13~19세","13.2","34.2","42.8","7.8","1.9","3.5","12.3","31.4","43.9","10","2.3","3.4","28.7","40.1","28.6","1.9","0.7","3.9","17.9","34.4","42","4.3","1.4","3.6","12.2","27.3","43","14.1","3.4","3.3","10.5","25","43.4","16.6","4.4","3.2","9.6","23.8","48.3","14.3","4.1","3.2","9.9","23.1","51.1","12.4","3.5","3.2","15.5","32.3","46.7","4.7","0.8","3.6"
"연령별","20~29세","10.5","38.4","43.4","5.2","2.5","3.5","8.5","32.9","48.1","8.8","1.8","3.4","22.7","36.1","37.4","3.1","0.7","3.8","10.5","33.9","48.5","6.3","0.8","3.5","10.2","27.4","47.3","12.9","2.2","3.3","9.6","24.5","45.5","15.7","4.7","3.2","8.6","27.1","48.3","14","2","3.3","9.8","33.3","46.9","8.4","1.6","3.4","10.1","36.2","48.5","4.4","0.8","3.5"
"연령별","30~39세","10.7","45.8","43.5","0","0","3.7","10.7","17.5","71.8","0","0","3.4","21.3","41.8","36.9","0","0","3.8","10.7","46.7","42.6","0","0","3.7","0","38.8","54.8","6.4","0","3.3","10.7","17.5","54.8","17","0","3.2","10.7","17.5","65.4","6.4","0","3.3","10.7","17.5","48.3","17","6.6","3.1","10.7","30.3","52.6","6.4","0","3.5"
"학력별","초졸이하","17.2","32","42.5","6.4","1.8","3.6","16","30.6","42","8.9","2.6","3.5","31","41.1","24.7","2.2","1","4","22.4","34.4","36.8","4.9","1.5","3.7","14.1","29.6","39.4","14.5","2.4","3.4","13.1","26.3","41.3","15.8","3.5","3.3","10.2","24.4","47.6","14.4","3.4","3.2","0","0","0","0","0","0","19.1","34.8","41.2","3.6","1.3","3.7"
"학력별","중졸","9.8","34.3","45.1","8.6","2.3","3.4","9.8","29.4","47.7","10.8","2.3","3.3","27.8","38.3","32.1","1.2","0.6","3.9","15.5","34.3","44.9","3.8","1.5","3.6","11.3","23.7","45.9","14.4","4.7","3.2","9","22.9","44.3","18.4","5.4","3.1","8.7","20.6","50.8","14.8","5.1","3.1","8.6","20.6","52.9","13.6","4.3","3.2","14.2","28.3","51.6","5.3","0.6","3.5"
"학력별","고졸","11.5","38.3","41.9","6.2","2.2","3.5","9.2","34.2","45.6","9.2","1.8","3.4","23.6","37.9","34.6","3.3","0.6","3.8","11.4","33.6","48.4","5.8","0.8","3.5","10.2","28.6","46.2","13","1.9","3.3","9.6","25.4","45.7","14.8","4.5","3.2","9","28.2","47.1","13.6","2.1","3.3","10.2","32","47.8","8.4","1.6","3.4","10.3","36.4","48","4.6","0.7","3.5"
"학력별","대졸이상","9.1","51.4","39.5","0","0","3.7","8.4","33.7","54.9","3","0","3.5","17.6","39.1","43.2","0","0","3.7","10.7","50.4","34.5","4.4","0","3.7","5.1","37.3","50.1","4.4","3","3.4","5.1","24.2","50.6","20.1","0","3.1","11.1","26.5","52.3","10.1","0","3.4","18.7","35.2","27.8","15.2","3.2","3.5","8.7","44.2","42.7","4.4","0","3.6"
"직업별","학생","12.3","35.7","43","6.9","2.1","3.5","11.1","31.7","45.6","9.5","2.1","3.4","26.7","38.8","31.5","2.3","0.7","3.9","15.4","34.4","44.1","4.9","1.2","3.6","11.4","27.5","44.5","13.6","3","3.3","10.2","24.8","44.2","16.3","4.4","3.2","9.3","24.8","48.5","14.1","3.4","3.2","9.9","27.7","49.2","10.6","2.7","3.3","13.7","33.5","47.3","4.6","0.8","3.6"
"월평균소득별","100만원 미만","14.7","29.1","48.8","4.6","2.9","3.5","10.5","34.5","43.5","9.9","1.5","3.4","24.5","41","30.4","4.1","0","3.9","12.8","36.2","40.5","10.4","0","3.5","9.1","26.7","46.2","16.7","1.3","3.3","10","27.5","46.5","13.1","2.9","3.3","13","29.2","42.1","14.5","1.3","3.4","13.1","31.8","39.9","10.4","4.8","3.4","14.3","29.4","51.6","4.7","0","3.5"
"월평균소득별","100~200만원 미만","9.3","26.9","55.4","5.5","2.8","3.3","7","21","58","10.4","3.5","3.2","21.5","32.1","43.1","1.7","1.6","3.7","10.8","29.7","50.2","6.5","2.9","3.4","9.6","24.3","53","11.4","1.6","3.3","9.2","19.7","56.7","11.3","3.2","3.2","7.3","17.9","60.8","11","3","3.2","7.3","18.9","61.8","8.8","3.3","3.2","11.3","23.5","60.2","2.1","2.9","3.4"
"월평균소득별","200~300만원 미만","6.3","37.6","46.2","7.4","2.5","3.4","7.8","27.9","49.7","10.8","3.8","3.3","26.3","37.4","35.5","0.2","0.6","3.9","14","28","53.4","3.2","1.4","3.5","7.8","30.2","42.2","14","5.8","3.2","7.7","27.1","39.3","18.7","7.1","3.1","7.3","22.8","48.5","14.8","6.6","3.1","9.5","29.3","47.5","7.4","6.4","3.3","10.5","31.7","49.6","6.2","2.1","3.4"
"월평균소득별","300~400만원 미만","12.7","38.9","39.8","5.7","2.8","3.5","12.4","33.1","45.4","7","2.1","3.5","29","36.8","31.5","1.9","0.9","3.9","15.3","38.5","41","3.4","1.8","3.6","12.7","29","42.8","13","2.6","3.4","10.2","22.9","43.4","18.1","5.4","3.1","10.3","31.5","45.7","10","2.5","3.4","12.9","33.2","43.8","8.4","1.7","3.5","18.3","34.5","42.5","3.8","0.9","3.7"
"월평균소득별","400~500만원 미만","11.8","35.4","43.7","7.4","1.7","3.5","10","30.8","48.9","9.1","1.3","3.4","23.7","39.8","34","2.3","0.1","3.9","14.8","34.6","45","5.1","0.5","3.6","10.9","20.2","46.8","20.1","2.1","3.2","10.1","20.7","46.7","18.9","3.6","3.2","7.3","19.5","50.1","20.5","2.6","3.1","7.5","22.8","54","13.6","2.1","3.2","10.9","33.6","49.2","5.8","0.5","3.5"
"월평균소득별","500~600만원 미만","13.5","39.1","41.5","4.5","1.4","3.6","13","35.5","41.9","9.2","0.5","3.5","30.6","39.2","29.7","0.5","0","4","17.8","32.7","42.9","6.6","0","3.6","11.3","30","46.7","9.6","2.4","3.4","9.4","27","44.7","15.9","3.1","3.2","8.5","24.7","54.2","9.5","3.1","3.3","6.5","25.9","54.4","12.7","0.5","3.3","13.1","37.5","47.5","1.9","0","3.6"
"월평균소득별","600~700만원 미만","23.5","39.9","28.5","7.4","0.6","3.8","21.2","39.9","32.2","5","1.6","3.7","34.1","43.5","21.6","0","0.8","4.1","24","40.2","34.9","1","0","3.9","20.1","33.1","31.9","10","4.8","3.5","20.4","36.3","28","11.4","4","3.6","23.5","28.8","33.6","12.1","2.1","3.6","18.1","29.4","41.6","9.8","1.1","3.5","23.2","34.6","38.9","3.3","0","3.8"
"월평균소득별","700만원 이상","12.3","33","42.2","10.6","1.9","3.4","9.8","32.5","41.2","13.6","2.9","3.3","24.9","42","25.1","6.5","1.5","3.8","15.2","35.3","42.2","5.1","2.2","3.6","11.7","30","43.5","11.6","3.2","3.4","9.4","25.5","44.8","15.4","4.8","3.2","6.7","25.6","46.3","17.1","4.3","3.1","8.7","29.5","46.5","12.1","3.2","3.3","12.1","36.6","44","7.2","0.1","3.5"
"주거형태별","단독주택","13.6","32.4","45.8","4.4","3.7","3.5","12.3","31.6","45.4","8.3","2.3","3.4","27.5","34.5","33.1","5","0","3.8","16.8","27.2","49.1","5.8","1.1","3.5","10.9","24.7","47.6","13.5","3.3","3.3","10.6","19.9","52.8","10.7","6","3.2","9.5","28.7","47.5","12.4","1.9","3.3","8.3","31.7","46.5","12.6","0.9","3.3","11.3","30.4","50.1","7.8","0.5","3.4"
"주거형태별","아파트","12.7","35.9","42.1","7.5","1.9","3.5","11.2","31.4","45.8","9.6","2","3.4","27.1","39","31.1","2.1","0.6","3.9","15.3","35.2","43.2","5.1","1.2","3.6","12.2","26.3","45.3","13.1","3","3.3","11.2","25","42.9","17.3","3.7","3.2","9.5","23.4","48.1","15.5","3.5","3.2","10.6","26","49.2","11.5","2.7","3.3","13.9","33.4","47.4","4.8","0.4","3.6"
"주거형태별","연립/다세대주택","11.1","37.2","44.2","5.9","1.6","3.5","10.5","33.2","44.4","9.3","2.6","3.4","25.1","40.2","32.6","0.8","1.3","3.9","15.5","35.2","43.8","4.2","1.3","3.6","9.7","30.3","41.6","15.5","2.9","3.3","6.1","26.2","44.9","16.2","6.6","3.1","8.2","26.3","51.2","10.6","3.7","3.3","8.5","30.2","49.5","7.9","3.9","3.3","13.9","34.4","47.1","2.4","2.2","3.6"
"주거형태별","기타","6.5","32.5","49.2","8.2","3.7","3.3","8","29.2","49.1","13.7","0","3.3","23.4","40.7","27.5","8.5","0","3.8","12.8","32.8","52","2.4","0","3.6","5.4","46","35.5","13.1","0","3.4","13.3","26.6","43.3","14.5","2.4","3.3","10","34.5","42.3","10.7","2.5","3.4","7.2","35.2","57.6","0","0","3.5","16.6","41.6","38.6","3.1","0","3.7"
"주거점유형태별","자가","12.7","36.5","41.4","7.5","1.9","3.5","11.2","31.7","45.4","9.7","1.9","3.4","27","39.8","30.6","1.9","0.7","3.9","16.2","33.5","44.6","4.6","1.1","3.6","11.2","27.8","44.3","14.1","2.7","3.3","10","24.2","44.2","17.3","4.3","3.2","9.7","23.4","48.3","15.5","3.1","3.2","10.3","27.5","49.3","10.3","2.6","3.3","13.8","34.9","46.3","4.5","0.6","3.6"
"주거점유형태별","전세","12.3","36.4","45.2","5.3","0.8","3.5","12.8","32","44.8","8.4","2","3.5","27.1","36.6","31.5","4.1","0.7","3.9","13.6","43.5","37.8","4.4","0.7","3.7","13.9","26","47.6","8.3","4.2","3.4","11.2","28","45.9","10.9","4","3.3","8.5","31.4","45.7","9.5","4.8","3.3","11.5","27","48.7","8.7","4.2","3.3","15.8","32.1","46.7","4","1.5","3.6"
"주거점유형태별","월세 및 기타","10.2","31.5","49.2","5.1","4","3.4","8.7","31.4","47.1","9.6","3.1","3.3","24.8","36","36.1","2.6","0.5","3.8","13.4","31.3","46.7","6.5","2.1","3.5","10.5","27.3","43.3","15.5","3.4","3.3","10.4","24.9","43.3","15.8","5.6","3.2","7.7","26","52","10.7","3.6","3.2","6.2","29.2","48.7","14","1.9","3.2","11.7","28.4","52.9","5.8","1.2","3.4"
"가구원수별","1인","10.8","35","50","2","2.1","3.5","9","29.5","55.8","3.4","2.1","3.4","16.4","38.8","41","3.8","0","3.7","11.7","34.8","49.5","4.1","0","3.5","3.8","30.2","56.1","9.9","0","3.3","8.2","24.3","61.6","5.9","0","3.4","8.4","30.2","51.1","10.3","0","3.4","9.6","32.8","49","6.7","2","3.4","5.2","31.5","59.2","4.1","0","3.4"
"가구원수별","2인","11.6","35.2","49.6","2.5","1.2","3.5","7.6","34.9","50.7","6.8","0","3.4","23.8","33.1","39.1","4","0","3.8","12.7","33.3","48.6","5.4","0","3.5","12.5","24.9","46.7","13.3","2.7","3.3","10.9","21.4","44.5","21.6","1.6","3.2","10.2","34.9","46","7.5","1.4","3.5","8.2","29.3","51.4","4.9","6.2","3.3","11.9","36.1","48.2","3.9","0","3.6"
"가구원수별","3인","10.8","32.2","46.3","7.2","3.5","3.4","9","28.8","47.4","11.1","3.8","3.3","21.1","36.8","38.5","2.3","1.3","3.7","11","30.1","50.3","6.4","2.2","3.4","10.4","26.8","45.8","14.1","3","3.3","7.7","23.4","45.3","18.2","5.4","3.1","6.1","21","53.1","14.8","5","3.1","9.2","23.7","52.7","10.9","3.6","3.2","13.7","24.3","53.9","5.2","2.8","3.4"
"가구원수별","4인","12.6","37.5","40.1","8.4","1.5","3.5","12.7","31.2","43.5","10.6","2","3.4","28.6","40.6","28.1","2.3","0.5","4","16.6","34.2","44.3","4","1","3.6","11.3","28.2","43.2","13.6","3.7","3.3","10.5","26.7","43.1","14.4","5.3","3.2","8.7","26","45.7","16.7","2.9","3.2","9.1","29.3","47.8","11.6","2.2","3.3","13.9","36.2","44.2","5.2","0.5","3.6"
"가구원수별","5인 이상","13.4","35.2","43.7","5.3","2.3","3.5","10.5","34.8","45.6","7.6","1.4","3.5","29.8","38.3","29.4","1.6","0.9","3.9","18.2","38.7","36.4","5.5","1.3","3.7","13.5","26.6","43.9","14","1.9","3.4","11.8","22.9","43.1","19","3.2","3.2","13","22.2","50.8","10.2","3.8","3.3","12.5","25.9","48.6","10.8","2.1","3.4","15.1","35.6","46.2","3.1","0","3.6"
